Log initialized at: 2025-03-14 12:37:03
Temps pour affichage : 0.0147058 secondes
Temps pour affichage : 0.0132778 secondes
Temps pour affichage : 0.0146475 secondes
Temps pour affichage : 0.0114886 secondes
Temps pour affichage : 0.0130295 secondes
Temps pour affichage : 0.0297163 secondes
Temps pour affichage : 0.013223 secondes
Temps pour affichage : 0.014779 secondes
Temps pour affichage : 0.0200265 secondes
Temps pour affichage : 0.013699 secondes
Temps pour affichage : 0.022175 secondes
Temps pour affichage : 0.0224383 secondes
Temps pour affichage : 0.0164285 secondes
Temps pour affichage : 0.0125306 secondes
Temps pour affichage : 0.0109808 secondes
Temps pour affichage : 0.0156742 secondes
Temps pour affichage : 0.0112925 secondes
Temps pour affichage : 0.0136355 secondes
Temps pour affichage : 0.0117295 secondes
Temps pour affichage : 0.0182349 secondes
Temps pour affichage : 0.015735 secondes
Temps pour affichage : 0.0102065 secondes
Temps pour affichage : 0.0141989 secondes
Temps pour affichage : 0.0138553 secondes
Temps pour affichage : 0.00990633 secondes
Temps pour affichage : 0.0138651 secondes
Temps pour affichage : 0.00959424 secondes
Temps pour affichage : 0.0150815 secondes
Temps pour affichage : 0.0117831 secondes
Temps pour affichage : 0.0105632 secondes
Temps pour affichage : 0.0106627 secondes
Temps pour affichage : 0.0106114 secondes
Temps pour affichage : 0.00922958 secondes
Temps pour affichage : 0.0099666 secondes
Temps pour affichage : 0.0162604 secondes
Temps pour affichage : 0.0141829 secondes
Temps pour affichage : 0.0131329 secondes
Temps pour affichage : 0.0131148 secondes
Temps pour affichage : 0.0181167 secondes
Temps pour affichage : 0.0226993 secondes
Temps pour affichage : 0.0111716 secondes
Temps pour affichage : 0.011216 secondes
Temps pour affichage : 0.0117098 secondes
Temps pour affichage : 0.0136013 secondes
Temps pour affichage : 0.0127703 secondes
Temps pour affichage : 0.0121045 secondes
Temps pour affichage : 0.018836 secondes
Temps pour affichage : 0.0200333 secondes
Temps pour affichage : 0.0137116 secondes
Temps pour affichage : 0.00792536 secondes
Temps pour affichage : 0.00974655 secondes
Temps pour affichage : 0.00674449 secondes
Temps pour affichage : 0.00811816 secondes
Temps pour affichage : 0.00843554 secondes
Temps pour affichage : 0.00728981 secondes
Temps pour affichage : 0.00873638 secondes
Temps pour affichage : 0.00726661 secondes
Temps pour affichage : 0.00746695 secondes
Temps pour affichage : 0.00831433 secondes
Temps pour affichage : 0.00740603 secondes
Temps pour affichage : 0.0153929 secondes
Temps pour affichage : 0.0109807 secondes
Temps pour affichage : 0.0061975 secondes
Temps pour affichage : 0.00660493 secondes
Temps pour affichage : 0.00812719 secondes
Temps pour affichage : 0.00785758 secondes
Temps pour affichage : 0.0055673 secondes
Temps pour affichage : 0.00646048 secondes
Temps pour affichage : 0.00818896 secondes
Temps pour affichage : 0.00509906 secondes
Temps pour affichage : 0.00569002 secondes
Temps pour affichage : 0.00707949 secondes
Temps pour affichage : 0.00605838 secondes
Temps pour affichage : 0.00479442 secondes
Temps pour affichage : 0.0069959 secondes
Temps pour affichage : 0.0071489 secondes
Temps pour affichage : 0.0056604 secondes
Temps pour affichage : 0.00455792 secondes
Temps pour affichage : 0.00526014 secondes
Temps pour affichage : 0.0119984 secondes
Temps pour affichage : 0.00648597 secondes
Temps pour affichage : 0.0079024 secondes
Temps pour affichage : 0.0067337 secondes
Temps pour affichage : 0.00659641 secondes
Temps pour affichage : 0.00664652 secondes
Temps pour affichage : 0.00679381 secondes
Temps pour affichage : 0.00431433 secondes
Temps pour affichage : 0.00435354 secondes
Temps pour affichage : 0.00480185 secondes
Temps pour affichage : 0.00591042 secondes
Temps pour affichage : 0.00718504 secondes
Temps pour affichage : 0.00415784 secondes
Temps pour affichage : 0.00481049 secondes
Temps pour affichage : 0.00550953 secondes
Temps pour affichage : 0.0066406 secondes
Temps pour affichage : 0.00437845 secondes
Temps pour affichage : 0.00413473 secondes
Temps pour affichage : 0.00531179 secondes
Temps pour affichage : 0.00591991 secondes
Temps pour affichage : 0.00572834 secondes
Temps pour affichage : 0.00685485 secondes
Temps pour affichage : 0.00573013 secondes
Temps pour affichage : 0.00371756 secondes
Temps pour affichage : 0.00487791 secondes
Temps pour affichage : 0.00673601 secondes
Temps pour affichage : 0.00537209 secondes
Temps pour affichage : 0.00439008 secondes
Temps pour affichage : 0.00373446 secondes
Temps pour affichage : 0.00335093 secondes
Temps pour affichage : 0.00509013 secondes
Temps pour affichage : 0.00539521 secondes
Temps pour affichage : 0.00546797 secondes
Temps pour affichage : 0.00316321 secondes
Temps pour affichage : 0.00389677 secondes
Temps pour affichage : 0.00298994 secondes
Temps pour affichage : 0.00523928 secondes
Temps pour affichage : 0.00585066 secondes
Temps pour affichage : 0.0107542 secondes
Temps pour affichage : 0.00369043 secondes
Temps pour affichage : 0.00373969 secondes
Temps pour affichage : 0.00374957 secondes
Temps pour affichage : 0.00438812 secondes
Temps pour affichage : 0.0048773 secondes
Temps pour affichage : 0.00717217 secondes
Temps pour affichage : 0.00368506 secondes
Temps pour affichage : 0.00349065 secondes
Temps pour affichage : 0.00682508 secondes
Temps pour affichage : 0.00464369 secondes
Temps pour affichage : 0.00521225 secondes
Temps pour affichage : 0.00353247 secondes
Temps pour affichage : 0.0031553 secondes
Temps pour affichage : 0.00331884 secondes
Temps pour affichage : 0.0035729 secondes
Temps pour affichage : 0.0049054 secondes
Temps pour affichage : 0.00420184 secondes
Temps pour affichage : 0.00307357 secondes
Temps pour affichage : 0.0031567 secondes
Temps pour affichage : 0.00404066 secondes
Temps pour affichage : 0.00421331 secondes
Temps pour affichage : 0.0045373 secondes
Temps pour affichage : 0.00390258 secondes
Temps pour affichage : 0.00365079 secondes
Temps pour affichage : 0.00290833 secondes
Temps pour affichage : 0.00339813 secondes
Temps pour affichage : 0.00376625 secondes
Temps pour affichage : 0.00501717 secondes
Temps pour affichage : 0.00348918 secondes
Temps pour affichage : 0.00302081 secondes
Temps pour affichage : 0.00521243 secondes
Temps pour affichage : 0.00359764 secondes
Temps pour affichage : 0.00438063 secondes
Temps pour affichage : 0.00351182 secondes
Temps pour affichage : 0.00407283 secondes
Temps pour affichage : 0.00325966 secondes
Temps pour affichage : 0.00341248 secondes
Temps pour affichage : 0.00379037 secondes
Temps pour affichage : 0.00314411 secondes
Temps pour affichage : 0.0259706 secondes
Temps pour affichage : 0.00342983 secondes
Temps pour affichage : 0.00329958 secondes
Temps pour affichage : 0.00371392 secondes
Temps pour affichage : 0.0033671 secondes
Temps pour affichage : 0.0078996 secondes
Temps pour affichage : 0.00413965 secondes
Temps pour affichage : 0.00338695 secondes
Temps pour affichage : 0.00317364 secondes
Temps pour affichage : 0.00364371 secondes
Temps pour affichage : 0.00286739 secondes
Temps pour affichage : 0.00440222 secondes
Temps pour affichage : 0.00412667 secondes
Temps pour affichage : 0.00282328 secondes
Temps pour affichage : 0.00322722 secondes
Temps pour affichage : 0.0051575 secondes
Temps pour affichage : 0.00368749 secondes
Temps pour affichage : 0.00425142 secondes
Temps pour affichage : 0.00386206 secondes
Temps pour affichage : 0.00298882 secondes
Temps pour affichage : 0.00381855 secondes
Temps pour affichage : 0.00314402 secondes
Temps pour affichage : 0.00435364 secondes
Temps pour affichage : 0.00381991 secondes
Temps pour affichage : 0.00344778 secondes
Temps pour affichage : 0.0043267 secondes
Temps pour affichage : 0.00365237 secondes
Temps pour affichage : 0.00671508 secondes
Temps pour affichage : 0.00420025 secondes
Temps pour affichage : 0.00405991 secondes
Temps pour affichage : 0.00317513 secondes
Temps pour affichage : 0.00288529 secondes
Temps pour affichage : 0.003419 secondes
Temps pour affichage : 0.0033125 secondes
Temps pour affichage : 0.00307337 secondes
Temps pour affichage : 0.00417778 secondes
Temps pour affichage : 0.00354757 secondes
Temps pour affichage : 0.00356309 secondes
Temps pour affichage : 0.00289968 secondes
Temps pour affichage : 0.00326168 secondes
Temps pour affichage : 0.00420153 secondes
Temps pour affichage : 0.00344777 secondes
Temps pour affichage : 0.00318668 secondes
Temps pour affichage : 0.00341002 secondes
Temps pour affichage : 0.00652415 secondes
Temps pour affichage : 0.00303652 secondes
Temps pour affichage : 0.00437925 secondes
Temps pour affichage : 0.00315927 secondes
Temps pour affichage : 0.00336275 secondes
Temps pour affichage : 0.00314179 secondes
Temps pour affichage : 0.00351997 secondes
Temps pour affichage : 0.00310273 secondes
Temps pour affichage : 0.00445098 secondes
Temps pour affichage : 0.0042707 secondes
Temps pour affichage : 0.00298999 secondes
Temps pour affichage : 0.00326767 secondes
Temps pour affichage : 0.00321156 secondes
Temps pour affichage : 0.00350406 secondes
Temps pour affichage : 0.0039467 secondes
Temps pour affichage : 0.0032507 secondes
Temps pour affichage : 0.00290304 secondes
Temps pour affichage : 0.00466912 secondes
Temps pour affichage : 0.0143325 secondes
Temps pour affichage : 0.00377049 secondes
Temps pour affichage : 0.00396134 secondes
Temps pour affichage : 0.00360477 secondes
Temps pour affichage : 0.00370234 secondes
Temps pour affichage : 0.00268688 secondes
Temps pour affichage : 0.00266545 secondes
Temps pour affichage : 0.00326577 secondes
Temps pour affichage : 0.00277606 secondes
Temps pour affichage : 0.00310998 secondes
Temps pour affichage : 0.002985 secondes
Temps pour affichage : 0.00337163 secondes
Temps pour affichage : 0.00358074 secondes
Temps pour affichage : 0.00823396 secondes
Temps pour affichage : 0.00318028 secondes
Temps pour affichage : 0.00317244 secondes
Temps pour affichage : 0.00288671 secondes
Temps pour affichage : 0.0042442 secondes
Temps pour affichage : 0.0032755 secondes
Temps pour affichage : 0.00380763 secondes
Temps pour affichage : 0.00316104 secondes
Temps pour affichage : 0.0028099 secondes
Temps pour affichage : 0.00320134 secondes
Temps pour affichage : 0.00317419 secondes
Temps pour affichage : 0.00842585 secondes
Temps pour affichage : 0.00514706 secondes
Temps pour affichage : 0.00373173 secondes
Temps pour affichage : 0.00308069 secondes
Temps pour affichage : 0.00459718 secondes
Temps pour affichage : 0.00304841 secondes
Temps pour affichage : 0.00460846 secondes
Temps pour affichage : 0.00320728 secondes
Temps pour affichage : 0.00296919 secondes
Temps pour affichage : 0.010558 secondes
Temps pour affichage : 0.00309633 secondes
Temps pour affichage : 0.0034061 secondes
Temps pour affichage : 0.00429264 secondes
Temps pour affichage : 0.00350265 secondes
Temps pour affichage : 0.00316768 secondes
Temps pour affichage : 0.00332419 secondes
Temps pour affichage : 0.00392993 secondes
Temps pour affichage : 0.00301701 secondes
Temps pour affichage : 0.00354774 secondes
Temps pour affichage : 0.0113675 secondes
Temps pour affichage : 0.00362252 secondes
Temps pour affichage : 0.00719426 secondes
Temps pour affichage : 0.00349652 secondes
Temps pour affichage : 0.00368739 secondes
Temps pour affichage : 0.00393063 secondes
Temps pour affichage : 0.0403683 secondes
Temps pour affichage : 0.00403308 secondes
Temps pour affichage : 0.00284034 secondes
Temps pour affichage : 0.00366481 secondes
Temps pour affichage : 0.00399547 secondes
Temps pour affichage : 0.00427558 secondes
Temps pour affichage : 0.0050992 secondes
Temps pour affichage : 0.0035432 secondes
Temps pour affichage : 0.00288505 secondes
Temps pour affichage : 0.00309105 secondes
Temps pour affichage : 0.00456403 secondes
Temps pour affichage : 0.00330285 secondes
Temps pour affichage : 0.00576043 secondes
Temps pour affichage : 0.0030095 secondes
Temps pour affichage : 0.00402331 secondes
Temps pour affichage : 0.00298068 secondes
Temps pour affichage : 0.00376604 secondes
Temps pour affichage : 0.00292506 secondes
Temps pour affichage : 0.00274939 secondes
Temps pour affichage : 0.00327241 secondes
Temps pour affichage : 0.00320092 secondes
Temps pour affichage : 0.00312516 secondes
Temps pour affichage : 0.0327919 secondes
Temps pour affichage : 0.00307681 secondes
Temps pour affichage : 0.00363593 secondes
Temps pour affichage : 0.00279664 secondes
Temps pour affichage : 0.00318649 secondes
Temps pour affichage : 0.00414111 secondes
Temps pour affichage : 0.00344584 secondes
Temps pour affichage : 0.00372944 secondes
Temps pour affichage : 0.00457417 secondes
Temps pour affichage : 0.00433831 secondes
Temps pour affichage : 0.00362813 secondes
Temps pour affichage : 0.00356121 secondes
Temps pour affichage : 0.00369366 secondes
Temps pour affichage : 0.00331008 secondes
Temps pour affichage : 0.00314978 secondes
Temps pour affichage : 0.00287065 secondes
Temps pour affichage : 0.0042562 secondes
Temps pour affichage : 0.00470656 secondes
