Log initialized at: 2025-03-14 12:35:09
Test for first try of OpenMP optimization
Nombre de coeurs physiques : 32
Temps pour affichage : 0.0167534 secondes
Temps pour avancement : 0.0201803 secondes
Temps pour affichage : 0.016399 secondes
Temps pour avancement : 0.0295795 secondes
Temps pour affichage : 0.0172384 secondes
Temps pour avancement : 0.0263561 secondes
Temps pour affichage : 0.0159868 secondes
Temps pour avancement : 0.0156032 secondes
Temps pour affichage : 0.0166922 secondes
Temps pour avancement : 0.0106752 secondes
Temps pour affichage : 0.0170585 secondes
Temps pour avancement : 0.0184027 secondes
Temps pour affichage : 0.0180473 secondes
Temps pour avancement : 0.0311919 secondes
Temps pour affichage : 0.0200165 secondes
Temps pour avancement : 0.0171367 secondes
Temps pour affichage : 0.0210944 secondes
Temps pour avancement : 0.00964674 secondes
Temps pour affichage : 0.0144809 secondes
Temps pour avancement : 0.024889 secondes
Temps pour affichage : 0.0152113 secondes
Temps pour avancement : 0.0167868 secondes
Temps pour affichage : 0.0185307 secondes
Temps pour avancement : 0.0178701 secondes
Temps pour affichage : 0.0165391 secondes
Temps pour avancement : 0.0181192 secondes
Temps pour affichage : 0.0163433 secondes
Temps pour avancement : 0.0253288 secondes
Temps pour affichage : 0.0170048 secondes
Temps pour avancement : 0.0265282 secondes
Temps pour affichage : 0.0179285 secondes
Temps pour avancement : 0.029841 secondes
Temps pour affichage : 0.0177364 secondes
Temps pour avancement : 0.0282039 secondes
Temps pour affichage : 0.017745 secondes
Temps pour avancement : 0.0160545 secondes
Temps pour affichage : 0.0178577 secondes
Temps pour avancement : 0.0166287 secondes
Temps pour affichage : 0.0142063 secondes
Temps pour avancement : 0.0121625 secondes
Temps pour affichage : 0.0151588 secondes
Temps pour avancement : 0.0277631 secondes
Temps pour affichage : 0.0181848 secondes
Temps pour avancement : 0.0312276 secondes
Temps pour affichage : 0.0181778 secondes
Temps pour avancement : 0.0279012 secondes
Temps pour affichage : 0.0161567 secondes
Temps pour avancement : 0.013654 secondes
Temps pour affichage : 0.0176206 secondes
Temps pour avancement : 0.0109837 secondes
Temps pour affichage : 0.0175502 secondes
Temps pour avancement : 0.0248641 secondes
Temps pour affichage : 0.0172189 secondes
Temps pour avancement : 0.0205319 secondes
Temps pour affichage : 0.0188748 secondes
Temps pour avancement : 0.0230321 secondes
Temps pour affichage : 0.0160084 secondes
Temps pour avancement : 0.0153357 secondes
Temps pour affichage : 0.0162166 secondes
Temps pour avancement : 0.0273083 secondes
Temps pour affichage : 0.0230862 secondes
Temps pour avancement : 0.0234052 secondes
