Log initialized at: 2025-03-09 09:25:08
Test for MPI with 2 threads
Temps pour une étape : 0.000299331 secondes
Temps pour une étape : 0.000542685 secondes
Temps pour une étape : 0.000250573 secondes
Temps pour une étape : 0.000698633 secondes
Temps pour une étape : 0.000257892 secondes
Temps pour une étape : 0.000221438 secondes
Temps pour une étape : 0.000225188 secondes
Temps pour une étape : 0.000541372 secondes
Temps pour une étape : 0.000239933 secondes
Temps pour une étape : 0.000188283 secondes
Temps pour une étape : 0.000259269 secondes
Temps pour une étape : 0.000191359 secondes
Temps pour une étape : 0.000239604 secondes
Temps pour une étape : 0.00052043 secondes
Temps pour une étape : 0.000571054 secondes
Temps pour une étape : 0.000196255 secondes
Temps pour une étape : 0.000515678 secondes
Temps pour une étape : 0.00020766 secondes
Temps pour une étape : 0.000620347 secondes
Temps pour une étape : 0.00016292 secondes
Temps pour une étape : 0.000186906 secondes
Temps pour une étape : 0.000155573 secondes
Temps pour une étape : 0.000138861 secondes
Temps pour une étape : 0.00014844 secondes
Temps pour une étape : 0.000200092 secondes
Temps pour une étape : 0.000185837 secondes
Temps pour une étape : 0.000552983 secondes
Temps pour une étape : 0.000138944 secondes
Temps pour une étape : 0.000174954 secondes
Temps pour une étape : 0.000134802 secondes
Temps pour une étape : 0.0006509 secondes
Temps pour une étape : 0.000184677 secondes
Temps pour une étape : 0.000150602 secondes
Temps pour une étape : 0.000507886 secondes
Temps pour une étape : 0.000184593 secondes
Temps pour une étape : 0.000153757 secondes
Temps pour une étape : 0.000141665 secondes
Temps pour une étape : 0.000146783 secondes
Temps pour une étape : 0.000140096 secondes
Temps pour une étape : 0.000190252 secondes
Temps pour une étape : 0.000135022 secondes
Temps pour une étape : 0.000188756 secondes
Temps pour une étape : 0.00013749 secondes
Temps pour une étape : 0.000201293 secondes
Temps pour une étape : 0.000175848 secondes
Temps pour une étape : 0.00028347 secondes
Temps pour une étape : 0.000196273 secondes
Temps pour une étape : 0.000137231 secondes
Temps pour une étape : 0.000141905 secondes
Temps pour une étape : 0.000151969 secondes
Temps pour une étape : 0.00017907 secondes
Temps pour une étape : 0.000176691 secondes
Temps pour une étape : 0.000164326 secondes
Temps pour une étape : 0.000139763 secondes
Temps pour une étape : 0.000181766 secondes
Temps pour une étape : 0.000525506 secondes
Temps pour une étape : 0.000510102 secondes
Temps pour une étape : 0.000168943 secondes
Temps pour une étape : 0.000149281 secondes
Temps pour une étape : 0.000496196 secondes
Temps pour une étape : 0.000143428 secondes
Temps pour une étape : 0.000697685 secondes
Temps pour une étape : 0.000135269 secondes
Temps pour une étape : 0.000159876 secondes
Temps pour une étape : 0.00053842 secondes
Temps pour une étape : 0.000155417 secondes
Temps pour une étape : 0.000452875 secondes
Temps pour une étape : 0.000145311 secondes
Temps pour une étape : 0.000536008 secondes
Temps pour une étape : 0.000138549 secondes
Temps pour une étape : 0.000135249 secondes
Temps pour une étape : 0.000157436 secondes
Temps pour une étape : 0.000183788 secondes
Temps pour une étape : 0.000289398 secondes
Temps pour une étape : 0.000183645 secondes
Temps pour une étape : 0.000482616 secondes
Temps pour une étape : 0.000138434 secondes
Temps pour une étape : 0.000147638 secondes
Temps pour une étape : 0.000146345 secondes
Temps pour une étape : 0.000137343 secondes
Temps pour une étape : 0.000188502 secondes
Temps pour une étape : 0.000193111 secondes
Temps pour une étape : 0.000179734 secondes
Temps pour une étape : 0.000158063 secondes
Temps pour une étape : 0.000152893 secondes
Temps pour une étape : 0.000149127 secondes
Temps pour une étape : 0.000153515 secondes
Temps pour une étape : 0.000158095 secondes
Temps pour une étape : 0.000141973 secondes
Temps pour une étape : 0.000192298 secondes
Temps pour une étape : 0.000188812 secondes
Temps pour une étape : 0.000153153 secondes
Temps pour une étape : 0.000183282 secondes
Temps pour une étape : 0.000198092 secondes
Temps pour une étape : 0.000237583 secondes
Temps pour une étape : 0.00016475 secondes
Temps pour une étape : 0.000136674 secondes
Temps pour une étape : 0.000146118 secondes
Temps pour une étape : 0.000155716 secondes
Temps pour une étape : 0.000186054 secondes
Temps pour une étape : 0.00014347 secondes
Temps pour une étape : 0.000162306 secondes
Temps pour une étape : 0.000187096 secondes
Temps pour une étape : 0.000219175 secondes
Temps pour une étape : 0.000139205 secondes
Temps pour une étape : 0.000133119 secondes
Temps pour une étape : 0.000180227 secondes
Temps pour une étape : 0.000137588 secondes
Temps pour une étape : 0.000171563 secondes
Temps pour une étape : 0.000140419 secondes
Temps pour une étape : 0.000169761 secondes
Temps pour une étape : 0.000200107 secondes
Temps pour une étape : 0.000198365 secondes
Temps pour une étape : 0.000156071 secondes
Temps pour une étape : 0.000147381 secondes
Temps pour une étape : 0.000156368 secondes
Temps pour une étape : 0.000165692 secondes
